Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46653375  	 6.46653429 
1.01285714  	 6.66239651  	 6.66239694 
1.01571429  	 6.84891355  	 6.84891394 
1.01857143  	 7.03347505  	 7.03347538 
1.02142857  	 7.22071992  	 7.22072020 
1.02171428  	 7.23969573  	 7.23969627 
1.02204081  	 7.26144133  	 7.26144155 
1.02236734  	 7.28324710  	 7.28324731 
1.02269387  	 7.30510937  	 7.30510958 
1.02302041  	 7.32702270  	 7.32702369 
1.02334694  	 7.34898007  	 7.34898103 
1.02367347  	 7.37097193  	 7.37097285 
1.02400000  	 7.39298668  	 7.39298758 
1.02428571  	 7.41225840  	 7.41225862 
1.02714286  	 7.60209528  	 7.60209612 
1.03000000  	 7.77136600  	 7.77136657 
