logMdot 	 Edot/LEdd    	 log10(Ts)   
17.10   	 1.01587844  	 7.23997997 
17.20   	 1.01694035  	 7.27725847 
17.30   	 1.01813362  	 7.30627644 
17.40   	 1.01943802  	 7.32756175 
17.50   	 1.02081414  	 7.34185742 
17.60   	 1.02220585  	 7.34980198 
17.70   	 1.02354656  	 7.35182785 
17.80   	 1.02476642  	 7.34817575 
17.90   	 1.02579950  	 7.33894661 
18.00   	 1.02659009  	 7.32415617 
18.10   	 1.02709654  	 7.30378434 
18.20   	 1.02729453  	 7.27781044 
18.30   	 1.02717732  	 7.24624257 
18.40   	 1.02675520  	 7.20913866 
18.50   	 1.02605340  	 7.16663330 
18.60   	 1.02511065  	 7.11901305 
18.70   	 1.02398827  	 7.06704855 
18.80   	 1.02278731  	 7.01275067 
18.90   	 1.02160925  	 6.95838757 
19.00   	 1.02051403  	 6.90531856 
