logMdot 	 Edot/LEdd    	 log10(Ts)   
17.40   	 1.01302102  	 7.13572440 
17.50   	 1.01393664  	 7.18065886 
17.60   	 1.01498086  	 7.21890001 
17.70   	 1.01614625  	 7.24934730 
17.80   	 1.01740534  	 7.27144605 
17.90   	 1.01870880  	 7.28515460 
18.00   	 1.01998934  	 7.29073361 
18.10   	 1.02117089  	 7.28854980 
18.20   	 1.02217829  	 7.27896912 
18.30   	 1.02294752  	 7.26231677 
18.40   	 1.02343351  	 7.23888201 
18.50   	 1.02361225  	 7.20896155 
18.60   	 1.02348603  	 7.17299065 
18.70   	 1.02310044  	 7.13222337 
18.80   	 1.02255356  	 7.08908937 
18.90   	 1.02193086  	 7.04536860 
19.00   	 1.02130180  	 7.00232734 
