logMdot 	 Edot/LEdd    	 log10(Ts)   
17.00   	 1.01288840  	 7.08604739 
17.01   	 1.01295660  	 7.09173133 
17.02   	 1.01302583  	 7.09737591 
17.03   	 1.01309594  	 7.10298255 
17.04   	 1.01316747  	 7.10854384 
17.05   	 1.01323979  	 7.11406735 
17.06   	 1.01331399  	 7.11953897 
17.07   	 1.01338791  	 7.12498471 
17.08   	 1.01346349  	 7.13037964 
17.09   	 1.01354040  	 7.13572735 
17.10   	 1.01361834  	 7.14103038 
17.15   	 1.01402602  	 7.16680870 
17.20   	 1.01446475  	 7.19123598 
17.25   	 1.01493615  	 7.21412622 
17.30   	 1.01544141  	 7.23529819 
17.35   	 1.01598101  	 7.25459900 
17.40   	 1.01655450  	 7.27191960 
17.45   	 1.01716032  	 7.28719908 
17.50   	 1.01779552  	 7.30042158 
17.55   	 1.01845584  	 7.31160565 
17.60   	 1.01913557  	 7.32079387 
17.65   	 1.01982780  	 7.32804166 
17.70   	 1.02052446  	 7.33340964 
17.75   	 1.02121669  	 7.33695734 
17.80   	 1.02189511  	 7.33873972 
17.85   	 1.02255004  	 7.33880545 
17.90   	 1.02317178  	 7.33719651 
17.95   	 1.02375114  	 7.33394764 
18.00   	 1.02427952  	 7.32908742 
18.05   	 1.02474895  	 7.32264028 
18.10   	 1.02515286  	 7.31462560 
18.15   	 1.02548533  	 7.30506138 
18.20   	 1.02574205  	 7.29396327 
18.25   	 1.02591988  	 7.28134679 
18.30   	 1.02601703  	 7.26722805 
18.35   	 1.02603296  	 7.25162504 
18.40   	 1.02596852  	 7.23455838 
18.45   	 1.02582555  	 7.21605447 
18.50   	 1.02560740  	 7.19614791 
18.60   	 1.02496557  	 7.15237769 
18.70   	 1.02411146  	 7.10442025 
18.75   	 1.02364076  	 7.07963401 
18.80   	 1.02315920  	 7.05469211 
18.90   	 1.02220074  	 7.00505207 
19.00   	 1.02129760  	 6.95669934 
