logMdot 	 Edot/LEdd    	 log10(Ts)   
17.10   	 1.01588022  	 7.24200673 
17.20   	 1.01694585  	 7.28077663 
17.30   	 1.01814720  	 7.31133228 
17.40   	 1.01946600  	 7.33396523 
17.50   	 1.02086379  	 7.34931575 
17.60   	 1.02228405  	 7.35801270 
17.70   	 1.02365827  	 7.36052235 
17.80   	 1.02491377  	 7.35713157 
17.90   	 1.02598141  	 7.34798635 
18.00   	 1.02680266  	 7.33314131 
18.10   	 1.02733356  	 7.31260898 
18.20   	 1.02754852  	 7.28639558 
18.30   	 1.02744039  	 7.25453214 
18.40   	 1.02701998  	 7.21709817 
18.50   	 1.02631394  	 7.17425615 
18.60   	 1.02536434  	 7.12636520 
18.70   	 1.02424338  	 7.07447619 
18.80   	 1.02306376  	 7.02090463 
18.90   	 1.02191803  	 6.96765237 
19.00   	 1.02086170  	 6.91593196 
