logMdot 	 Edot/LEdd    	 log10(Ts)   
17.40   	 1.01302123  	 7.13596545 
17.50   	 1.01393760  	 7.18131111 
17.60   	 1.01498411  	 7.22023291 
17.70   	 1.01615473  	 7.25155976 
17.80   	 1.01742363  	 7.27460372 
17.90   	 1.01874233  	 7.28920009 
18.00   	 1.02004348  	 7.29553167 
18.10   	 1.02124911  	 7.29393478 
18.20   	 1.02228202  	 7.28477350 
18.30   	 1.02307573  	 7.26838929 
18.40   	 1.02358279  	 7.24509988 
18.50   	 1.02377852  	 7.21525274 
18.60   	 1.02366989  	 7.17949733 
18.70   	 1.02332225  	 7.13971551 
18.80   	 1.02283114  	 7.09820733 
18.90   	 1.02227531  	 7.05645117 
19.00   	 1.02172301  	 7.01569418 
