Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01445444  	 6.93140585  	 6.93141509 
1.01446444  	 6.93347501  	 6.93348426 
1.01447444  	 6.93556195  	 6.93557190 
1.01500000  	 7.09706239  	 7.09706595 
1.01510000  	 7.15948564  	 7.15948885 
1.01510500  	 7.16348701  	 7.16348702 
1.01511500  	 7.17187044  	 7.17187045 
1.01512500  	 7.18083817  	 7.18083818 
1.01513500  	 7.19049369  	 7.19049370 
1.01514500  	 7.20097251  	 7.20097251 
1.01515000  	 7.20657360  	 7.20657576 
1.01520000  	 7.28781795  	 7.28782150 
