Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.50976768  	 6.50977376 
1.01222222  	 6.70223893  	 6.70224370 
1.01444444  	 6.92789986  	 6.92790401 
1.01466666  	 6.95411840  	 6.95412448 
1.01492063  	 6.98532751  	 6.98533085 
1.01517460  	 7.01804055  	 7.01804380 
1.01542857  	 7.05249554  	 7.05249868 
1.01568254  	 7.08898583  	 7.08898887 
1.01593651  	 7.12786355  	 7.12786646 
1.01619048  	 7.16956702  	 7.16956981 
1.01644445  	 7.21464691  	 7.21464956 
1.01666667  	 7.25738625  	 7.25738968 
