Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00900000  	 6.44483328  	 6.44483936 
1.01000000  	 6.54356640  	 6.54357248 
1.01005556  	 6.54935044  	 6.54935541 
1.01111111  	 6.67039264  	 6.67039728 
1.01216666  	 6.83873157  	 6.83873582 
1.01222222  	 6.85064288  	 6.85064896 
1.01233333  	 6.87619723  	 6.87620090 
1.01244444  	 6.90463213  	 6.90463573 
1.01255555  	 6.93694636  	 6.93694987 
1.01266666  	 6.97480808  	 6.97481148 
1.01277778  	 7.02132391  	 7.02132719 
1.01278889  	 7.02665888  	 7.02666496 
1.01280159  	 7.03295367  	 7.03295679 
1.01281429  	 7.03947079  	 7.03947388 
1.01282699  	 7.04623292  	 7.04623599 
1.01283968  	 7.05325875  	 7.05326180 
1.01285238  	 7.06058425  	 7.06058728 
1.01286508  	 7.06823485  	 7.06823786 
1.01287778  	 7.07624654  	 7.07624952 
1.01288889  	 7.08358650  	 7.08358963 
1.01300000  	 7.18696380  	 7.18696674 
