Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49841024  	 6.49841632 
1.01222222  	 6.66772229  	 6.66772710 
1.01444444  	 6.83820694  	 6.83821121 
1.01666667  	 7.01603006  	 7.01603378 
1.01688889  	 7.03443520  	 7.03444128 
1.01714286  	 7.05563746  	 7.05564055 
1.01739683  	 7.07701783  	 7.07702085 
1.01765080  	 7.09859050  	 7.09859346 
1.01790476  	 7.12035413  	 7.12035702 
1.01815873  	 7.14231573  	 7.14231854 
1.01841270  	 7.16447829  	 7.16448103 
1.01866667  	 7.18684620  	 7.18684888 
1.01888889  	 7.20658017  	 7.20658332 
1.02111111  	 7.41088134  	 7.41088387 
