Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00900000  	 6.43103776  	 6.43104384 
1.01000000  	 6.51821888  	 6.51822496 
1.01061111  	 6.57297738  	 6.57298240 
1.01222222  	 6.72987681  	 6.72988137 
1.01383333  	 6.92883297  	 6.92883704 
1.01444444  	 7.03037937  	 7.03038343 
1.01454444  	 7.04958048  	 7.04958656 
1.01465873  	 7.07272814  	 7.07273118 
1.01477301  	 7.09736241  	 7.09736538 
1.01488730  	 7.12374254  	 7.12374543 
1.01500158  	 7.15219777  	 7.15220058 
1.01511587  	 7.18317172  	 7.18317443 
1.01523015  	 7.21723542  	 7.21723803 
1.01534444  	 7.25519637  	 7.25519887 
1.01544444  	 7.29246762  	 7.29247104 
