Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48309472  	 6.48310080 
1.01333333  	 6.68029726  	 6.68030211 
1.01666667  	 6.84617440  	 6.84617862 
1.02000000  	 6.98751342  	 6.98751711 
1.02033333  	 7.00049664  	 7.00050272 
1.02071428  	 7.01510378  	 7.01510698 
1.02109524  	 7.02946593  	 7.02946908 
1.02147619  	 7.04359070  	 7.04359380 
1.02185714  	 7.05748235  	 7.05748541 
1.02223809  	 7.07114509  	 7.07114810 
1.02261905  	 7.08458599  	 7.08458896 
1.02300000  	 7.09780896  	 7.09781189 
1.02333333  	 7.10920620  	 7.10920944 
