Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.50330464  	 6.50331072 
1.01222222  	 6.68250577  	 6.68251056 
1.01444444  	 6.87361200  	 6.87361622 
1.01666667  	 7.09397675  	 7.09398035 
1.01688889  	 7.11860672  	 7.11861280 
1.01714286  	 7.14751078  	 7.14751360 
1.01739683  	 7.17727015  	 7.17727288 
1.01765080  	 7.20794152  	 7.20794416 
1.01790476  	 7.23958331  	 7.23958584 
1.01815873  	 7.27224351  	 7.27224594 
1.01841270  	 7.30595552  	 7.30595785 
1.01866667  	 7.34073103  	 7.34073325 
1.01888889  	 7.37201136  	 7.37201426 
