Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.48556928  	 6.48557536 
1.01333333  	 6.68970485  	 6.68970969 
1.01666667  	 6.86391331  	 6.86391750 
1.02000000  	 7.01420758  	 7.01421121 
1.02033333  	 7.02809376  	 7.02809984 
1.02071428  	 7.04373445  	 7.04373756 
1.02109524  	 7.05912344  	 7.05912650 
1.02147619  	 7.07427080  	 7.07427381 
1.02185714  	 7.08918023  	 7.08918319 
1.02223809  	 7.10385535  	 7.10385827 
1.02261905  	 7.11830551  	 7.11830838 
1.02300000  	 7.13252830  	 7.13253112 
1.02333333  	 7.14479589  	 7.14479905 
