Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.42034912  	 6.42035520 
1.01333333  	 6.56814378  	 6.56814884 
1.01366666  	 6.58128672  	 6.58129280 
1.01404762  	 6.59598686  	 6.59599140 
1.01442857  	 6.61035946  	 6.61036395 
1.01480952  	 6.62441595  	 6.62442040 
1.01519048  	 6.63816299  	 6.63816739 
1.01557143  	 6.65161576  	 6.65162012 
1.01595238  	 6.66478031  	 6.66478462 
1.01633334  	 6.67767105  	 6.67767532 
1.01666667  	 6.68873128  	 6.68873586 
1.02000000  	 6.78931503  	 6.78931923 
1.02333333  	 6.87488431  	 6.87488818 
1.02666667  	 6.94889712  	 6.94890072 
1.03000000  	 7.01380987  	 7.01381323 
1.03333333  	 7.07140022  	 7.07140337 
1.03666667  	 7.12300362  	 7.12300659 
1.04000000  	 7.16962615  	 7.16962896 
