r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.000037e+06 	1.352011e+09 	1.123065e+05 	1.788970e+22 	2.730453e-01 	2.895380e+08 	1.066478e+09 	4.948011e+38 	3.331715e+38 	6.288979e+09 	3.333333e-01 	
1.000045e+06 	1.348521e+09 	1.111272e+05 	1.767910e+22 	2.759375e-01 	2.891641e+08 	1.053888e+09 	4.947985e+38 	3.331711e+38 	6.232943e+09 	3.333333e-01 	
1.000054e+06 	1.345041e+09 	1.099603e+05 	1.747103e+22 	2.788603e-01 	2.887907e+08 	1.041448e+09 	4.947959e+38 	3.331707e+38 	6.177398e+09 	3.333333e-01 	
1.000063e+06 	1.341570e+09 	1.088057e+05 	1.726548e+22 	2.818141e-01 	2.884179e+08 	1.029155e+09 	4.947933e+38 	3.331704e+38 	6.122340e+09 	3.333333e-01 	
1.000071e+06 	1.338109e+09 	1.076632e+05 	1.706240e+22 	2.847992e-01 	2.880456e+08 	1.017007e+09 	4.947907e+38 	3.331700e+38 	6.067764e+09 	3.333333e-01 	
1.000080e+06 	1.334658e+09 	1.065327e+05 	1.686177e+22 	2.878160e-01 	2.876739e+08 	1.005004e+09 	4.947881e+38 	3.331697e+38 	6.013667e+09 	3.333333e-01 	
1.000088e+06 	1.331216e+09 	1.054140e+05 	1.666356e+22 	2.908647e-01 	2.873027e+08 	9.931427e+08 	4.947856e+38 	3.331693e+38 	5.960044e+09 	3.333333e-01 	
1.000097e+06 	1.327784e+09 	1.043071e+05 	1.646773e+22 	2.939457e-01 	2.869321e+08 	9.814220e+08 	4.947830e+38 	3.331690e+38 	5.906892e+09 	3.333333e-01 	
1.000106e+06 	1.324361e+09 	1.032118e+05 	1.627426e+22 	2.970593e-01 	2.865621e+08 	9.698402e+08 	4.947804e+38 	3.331686e+38 	5.854206e+09 	3.333333e-01 	
1.000114e+06 	1.320948e+09 	1.021280e+05 	1.608312e+22 	3.002060e-01 	2.861926e+08 	9.583956e+08 	4.947778e+38 	3.331683e+38 	5.801982e+09 	3.333333e-01 	
1.000123e+06 	1.317545e+09 	1.010556e+05 	1.589427e+22 	3.033859e-01 	2.858236e+08 	9.470866e+08 	4.947753e+38 	3.331679e+38 	5.750217e+09 	3.333333e-01 	
