r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200055e+06 	1.326687e+09 	9.967091e+04 	1.604931e+22 	2.730109e-01 	2.868135e+08 	1.055932e+09 	6.534154e+38 	4.270396e+38 	6.776014e+09 	3.333333e-01 	
1.200065e+06 	1.323250e+09 	9.861328e+04 	1.585987e+22 	2.759340e-01 	2.864418e+08 	1.043348e+09 	6.534119e+38 	4.270392e+38 	6.714870e+09 	3.333333e-01 	
1.200074e+06 	1.319824e+09 	9.756688e+04 	1.567272e+22 	2.788883e-01 	2.860707e+08 	1.030915e+09 	6.534085e+38 	4.270387e+38 	6.654270e+09 	3.333333e-01 	
1.200084e+06 	1.316407e+09 	9.653158e+04 	1.548783e+22 	2.818743e-01 	2.857002e+08 	1.018631e+09 	6.534050e+38 	4.270383e+38 	6.594207e+09 	3.333333e-01 	
1.200093e+06 	1.313000e+09 	9.550727e+04 	1.530518e+22 	2.848922e-01 	2.853302e+08 	1.006493e+09 	6.534015e+38 	4.270378e+38 	6.534678e+09 	3.333333e-01 	
1.200103e+06 	1.309602e+09 	9.449382e+04 	1.512474e+22 	2.879425e-01 	2.849608e+08 	9.945011e+08 	6.533981e+38 	4.270373e+38 	6.475677e+09 	3.333333e-01 	
1.200112e+06 	1.306214e+09 	9.349113e+04 	1.494649e+22 	2.910254e-01 	2.845919e+08 	9.826524e+08 	6.533946e+38 	4.270369e+38 	6.417200e+09 	3.333333e-01 	
1.200122e+06 	1.302835e+09 	9.249908e+04 	1.477039e+22 	2.941414e-01 	2.842236e+08 	9.709454e+08 	6.533912e+38 	4.270364e+38 	6.359243e+09 	3.333333e-01 	
1.200131e+06 	1.299466e+09 	9.151755e+04 	1.459643e+22 	2.972907e-01 	2.838559e+08 	9.593785e+08 	6.533877e+38 	4.270360e+38 	6.301800e+09 	3.333333e-01 	
1.200141e+06 	1.296106e+09 	9.054644e+04 	1.442456e+22 	3.004738e-01 	2.834887e+08 	9.479499e+08 	6.533843e+38 	4.270355e+38 	6.244867e+09 	3.333333e-01 	
1.200150e+06 	1.292756e+09 	8.958564e+04 	1.425477e+22 	3.036909e-01 	2.831221e+08 	9.366579e+08 	6.533808e+38 	4.270351e+38 	6.188440e+09 	3.333333e-01 	
1.200160e+06 	1.289415e+09 	8.863503e+04 	1.408703e+22 	3.069425e-01 	2.827560e+08 	9.255010e+08 	6.533774e+38 	4.270346e+38 	6.132515e+09 	3.333333e-01 	
1.200169e+06 	1.286083e+09 	8.769450e+04 	1.392132e+22 	3.102289e-01 	2.823905e+08 	9.144774e+08 	6.533740e+38 	4.270341e+38 	6.077087e+09 	3.333333e-01 	
1.200179e+06 	1.282761e+09 	8.676396e+04 	1.375761e+22 	3.135505e-01 	2.820255e+08 	9.035857e+08 	6.533705e+38 	4.270337e+38 	6.022152e+09 	3.333333e-01 	
1.200188e+06 	1.279448e+09 	8.584329e+04 	1.359587e+22 	3.169077e-01 	2.816611e+08 	8.928241e+08 	6.533671e+38 	4.270332e+38 	5.967705e+09 	3.333333e-01 	
1.200198e+06 	1.276145e+09 	8.493239e+04 	1.343608e+22 	3.203008e-01 	2.812972e+08 	8.821912e+08 	6.533637e+38 	4.270328e+38 	5.913743e+09 	3.333333e-01 	
1.200207e+06 	1.272851e+09 	8.403116e+04 	1.327823e+22 	3.237303e-01 	2.809339e+08 	8.716855e+08 	6.533603e+38 	4.270323e+38 	5.860260e+09 	3.333333e-01 	
1.200217e+06 	1.269566e+09 	8.313949e+04 	1.312228e+22 	3.271965e-01 	2.805712e+08 	8.613054e+08 	6.533569e+38 	4.270318e+38 	5.807252e+09 	3.333333e-01 	
1.200226e+06 	1.266290e+09 	8.225728e+04 	1.296821e+22 	3.306998e-01 	2.802090e+08 	8.510493e+08 	6.533534e+38 	4.270314e+38 	5.754716e+09 	3.333333e-01 	
1.200235e+06 	1.263023e+09 	8.138443e+04 	1.281600e+22 	3.342407e-01 	2.798473e+08 	8.409158e+08 	6.533500e+38 	4.270309e+38 	5.702648e+09 	3.333333e-01 	
1.200245e+06 	1.259766e+09 	8.052085e+04 	1.266562e+22 	3.378194e-01 	2.794862e+08 	8.309035e+08 	6.533466e+38 	4.270305e+38 	5.651043e+09 	3.333333e-01 	
1.200254e+06 	1.256518e+09 	7.966643e+04 	1.251705e+22 	3.414365e-01 	2.791257e+08 	8.210108e+08 	6.533432e+38 	4.270300e+38 	5.599897e+09 	3.333333e-01 	
1.200263e+06 	1.253279e+09 	7.882107e+04 	1.237028e+22 	3.450924e-01 	2.787657e+08 	8.112363e+08 	6.533398e+38 	4.270296e+38 	5.549206e+09 	3.333333e-01 	
1.200273e+06 	1.250049e+09 	7.798469e+04 	1.222527e+22 	3.487873e-01 	2.784062e+08 	8.015786e+08 	6.533365e+38 	4.270291e+38 	5.498967e+09 	3.333333e-01 	
1.200282e+06 	1.246827e+09 	7.715718e+04 	1.208200e+22 	3.525219e-01 	2.780473e+08 	7.920363e+08 	6.533331e+38 	4.270286e+38 	5.449175e+09 	3.333333e-01 	
1.200291e+06 	1.243616e+09 	7.633845e+04 	1.194046e+22 	3.562964e-01 	2.776889e+08 	7.826080e+08 	6.533297e+38 	4.270282e+38 	5.399827e+09 	3.333333e-01 	
1.200301e+06 	1.240413e+09 	7.552840e+04 	1.180063e+22 	3.601114e-01 	2.773311e+08 	7.732925e+08 	6.533263e+38 	4.270277e+38 	5.350917e+09 	3.333333e-01 	
1.200310e+06 	1.237219e+09 	7.472696e+04 	1.166247e+22 	3.639672e-01 	2.769738e+08 	7.640882e+08 	6.533229e+38 	4.270273e+38 	5.302444e+09 	3.333333e-01 	
1.200319e+06 	1.234034e+09 	7.393402e+04 	1.152598e+22 	3.678644e-01 	2.766171e+08 	7.549939e+08 	6.533196e+38 	4.270268e+38 	5.254402e+09 	3.333333e-01 	
1.200328e+06 	1.230858e+09 	7.314949e+04 	1.139113e+22 	3.718032e-01 	2.762609e+08 	7.460082e+08 	6.533162e+38 	4.270263e+38 	5.206788e+09 	3.333333e-01 	
1.200338e+06 	1.227691e+09 	7.237329e+04 	1.125790e+22 	3.757843e-01 	2.759052e+08 	7.371298e+08 	6.533129e+38 	4.270259e+38 	5.159599e+09 	3.333333e-01 	
1.200347e+06 	1.224532e+09 	7.160532e+04 	1.112627e+22 	3.798079e-01 	2.755501e+08 	7.283575e+08 	6.533095e+38 	4.270254e+38 	5.112830e+09 	3.333333e-01 	
1.200356e+06 	1.221383e+09 	7.084550e+04 	1.099622e+22 	3.838747e-01 	2.751955e+08 	7.196900e+08 	6.533061e+38 	4.270250e+38 	5.066478e+09 	3.333333e-01 	
1.200365e+06 	1.218242e+09 	7.009375e+04 	1.086774e+22 	3.879851e-01 	2.748415e+08 	7.111260e+08 	6.533028e+38 	4.270245e+38 	5.020540e+09 	3.333333e-01 	
1.200374e+06 	1.215111e+09 	6.934997e+04 	1.074079e+22 	3.921394e-01 	2.744880e+08 	7.026643e+08 	6.532994e+38 	4.270241e+38 	4.975011e+09 	3.333333e-01 	
