Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.44939328  	 6.44939936 
1.01222222  	 6.60852274  	 6.60852771 
1.01444444  	 6.77997501  	 6.77997946 
1.01666667  	 7.00741568  	 7.00742176 
1.01722223  	 7.08983671  	 7.08983988 
1.01777778  	 7.20092905  	 7.20093197 
1.01783334  	 7.21481664  	 7.21482272 
1.01789683  	 7.23162585  	 7.23162836 
1.01796032  	 7.24958244  	 7.24958490 
1.01802381  	 7.26888678  	 7.26888918 
1.01808731  	 7.28980949  	 7.28981183 
1.01809366  	 7.29200224  	 7.29200832 
1.01810092  	 7.29453517  	 7.29453744 
1.01810817  	 7.29709065  	 7.29709291 
1.01811543  	 7.29967736  	 7.29967960 
1.01812268  	 7.30228592  	 7.30228816 
1.01812994  	 7.30492942  	 7.30493165 
1.01813720  	 7.30760071  	 7.30760294 
1.01814445  	 7.31029941  	 7.31030162 
1.01814508  	 7.31053408  	 7.31054016 
1.01814581  	 7.31080987  	 7.31081207 
1.01814654  	 7.31108334  	 7.31108554 
1.01814661  	 7.31110560  	 7.31111168 
1.01814669  	 7.31113867  	 7.31114087 
1.01814678  	 7.31117394  	 7.31117614 
1.01814686  	 7.31120259  	 7.31120480 
1.01814694  	 7.31123345  	 7.31123565 
1.01814702  	 7.31126431  	 7.31126651 
1.01814711  	 7.31129737  	 7.31129957 
1.01814719  	 7.31132822  	 7.31133042 
1.01814720  	 7.31133056  	 7.31133276 
1.01814721  	 7.31133497  	 7.31133717 
1.01814722  	 7.31133937  	 7.31134158 
1.01814723  	 7.31134158  	 7.31134378 
1.01814724  	 7.31134599  	 7.31134819 
1.01814725  	 7.31135039  	 7.31135260 
1.01814726  	 7.31135449  	 7.31135670 
1.01814799  	 7.31162775  	 7.31162995 
1.01814871  	 7.31189869  	 7.31190090 
1.01814944  	 7.31217393  	 7.31217613 
1.01815016  	 7.31244686  	 7.31244906 
1.01815080  	 7.31268785  	 7.31269012 
1.01821429  	 7.33800073  	 7.33800293 
1.01827778  	 7.36642539  	 7.36642751 
1.01833334  	 7.39462641  	 7.39462896 
