Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49968096  	 6.49968704 
1.01333333  	 6.70051247  	 6.70051727 
1.01666667  	 6.86373642  	 6.86374058 
1.02000000  	 6.99945537  	 6.99945901 
1.02033333  	 7.01179170  	 7.01179496 
1.02071428  	 7.02564759  	 7.02565404 
1.02109524  	 7.03924557  	 7.03925193 
1.02147619  	 7.05260359  	 7.05260986 
1.02185714  	 7.06571401  	 7.06572019 
1.02223809  	 7.07859419  	 7.07860029 
1.02261904  	 7.09124866  	 7.09125468 
1.02300000  	 7.10368186  	 7.10368780 
1.02333333  	 7.11438193  	 7.11438513 
1.02666667  	 7.21313472  	 7.21313756 
