Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49845288  	 6.49845895 
1.01222222  	 6.63587866  	 6.63588221 
1.01444444  	 6.75520666  	 6.75521022 
1.01666667  	 6.85993555  	 6.85993910 
1.01888889  	 6.95274266  	 6.95274622 
1.02111111  	 7.03567599  	 7.03567955 
1.02333333  	 7.11032843  	 7.11033199 
1.02355555  	 7.11738931  	 7.11738931 
1.02400000  	 7.13130430  	 7.13130431 
1.02444445  	 7.14495178  	 7.14495179 
1.02488889  	 7.15833986  	 7.15833986 
1.02533334  	 7.17147626  	 7.17147626 
1.02555556  	 7.17795154  	 7.17795510 
1.02777778  	 7.23954087  	 7.23954443 
1.03000000  	 7.29590354  	 7.29590709 
