Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49844682  	 6.49845288 
1.01222222  	 6.62967171  	 6.62967526 
1.01444444  	 6.74247171  	 6.74247527 
1.01666667  	 6.84062638  	 6.84062993 
1.01888889  	 6.92700505  	 6.92700860 
1.02111111  	 7.00376949  	 7.00377305 
1.02133333  	 7.01098758  	 7.01098759 
1.02177778  	 7.02518648  	 7.02518649 
1.02222222  	 7.03908519  	 7.03908520 
1.02266666  	 7.05269415  	 7.05269416 
1.02311111  	 7.06602332  	 7.06602333 
1.02333333  	 7.07258371  	 7.07258727 
1.02555556  	 7.13473127  	 7.13473482 
1.02777778  	 7.19122549  	 7.19122905 
1.03000000  	 7.24287349  	 7.24287705 
