Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49563958  	 6.49564564 
1.01222222  	 6.62345114  	 6.62345469 
1.01444444  	 6.73294092  	 6.73294447 
1.01666667  	 6.82795959  	 6.82796314 
1.01888889  	 6.91140492  	 6.91140848 
1.02111111  	 6.98545292  	 6.98545648 
1.02133333  	 6.99240897  	 6.99240898 
1.02177778  	 7.00609405  	 7.00609406 
1.02222222  	 7.01948733  	 7.01948734 
1.02266666  	 7.03259921  	 7.03259922 
1.02311111  	 7.04543956  	 7.04543956 
1.02333333  	 7.05176048  	 7.05176403 
1.02555556  	 7.11160404  	 7.11160759 
1.02777778  	 7.16598626  	 7.16598982 
1.03000000  	 7.21570359  	 7.21570715 
