Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.00983882  	 6.46585128  	 6.46585735 
1.01070362  	 6.54321661  	 6.54322017 
1.01156843  	 6.62848594  	 6.62848950 
1.01243324  	 6.73390461  	 6.73390816 
1.01329804  	 6.92690017  	 6.92690372 
1.01338452  	 6.97124861  	 6.97125217 
1.0134331650  	 7.0065801012  	 7.0065801016 
1.0134526230  	 7.0248679214  	 7.0248679218 
1.0134720810  	 7.0473415257  	 7.0473415261 
1.0134915390  	 7.0770805505  	 7.0770805508 
1.0135109970  	 7.1233738749  	 7.1233738752 
1.0135114834  	 7.1249712844  	 7.1249712845 
1.0135124564  	 7.1282752967  	 7.1282752967 
1.0135134293  	 7.1317368250  	 7.1317368250 
1.0135135266  	 7.1320923729  	 7.1320923730 
1.0135139158  	 7.1335325617  	 7.1335325618 
1.0135143049  	 7.1350021872  	 7.1350021873 
1.0135144022  	 7.1353745134  	 7.1353745135 
1.0135153750  	 7.1392098617  	 7.1392098618 
1.0135158615  	 7.1412102862  	 7.1412102864 
1.0135172514  	 7.1472704561  	 7.1472704571 
1.0135186412  	 7.1539338384  	 7.1539338393 
1.0135200311  	 7.1613612496  	 7.1613612505 
1.0135214209  	 7.1697914159  	 7.1697914168 
1.0135228108  	 7.1796136735  	 7.1796136744 
1.0135242006  	 7.1915301162  	 7.1915301169 
1.0135255905  	 7.2070876675  	 7.2070876682 
1.0135304550  	 7.3204389871  	 7.3204389874 
1.0135791000  	 7.3403253522  	 7.3403253526 
1.0137088200  	 7.3464193881  	 7.3464193891 
1.0138385400  	 7.3475315369  	 7.3475315377 
1.0139682600  	 7.3475315369  	 7.3475315375 
1.01416284  	 7.34772150  	 7.34772505 
