Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47031983  	 6.47032589 
1.01333333  	 6.69435539  	 6.69435894 
1.01666667  	 6.89920161  	 6.89920517 
1.02000000  	 7.09277317  	 7.09277672 
1.02333333  	 7.27851184  	 7.27851539 
1.02366666  	 7.29668176  	 7.29668176 
1.02433333  	 7.33277507  	 7.33277508 
1.02500000  	 7.36852036  	 7.36852036 
1.02566667  	 7.40388184  	 7.40388184 
1.02633334  	 7.43881494  	 7.43881495 
1.02666667  	 7.45610117  	 7.45610473 
1.03000000  	 7.62053139  	 7.62053495 
1.03333333  	 7.76308783  	 7.76309139 
