Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.49275958  	 6.49276564 
1.01333333  	 6.70009469  	 6.70009825 
1.01666667  	 6.87279513  	 6.87279869 
1.02000000  	 7.01939424  	 7.01939780 
1.02333333  	 7.14562713  	 7.14563068 
1.02366666  	 7.15729890  	 7.15729890 
1.02433333  	 7.18016036  	 7.18016036 
1.02500000  	 7.20240874  	 7.20240874 
1.02566667  	 7.22406753  	 7.22406754 
1.02633334  	 7.24515882  	 7.24515882 
1.02666667  	 7.25549735  	 7.25550091 
1.03000000  	 7.35188846  	 7.35189202 
