Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46912539  	 6.46913145 
1.01222222  	 6.65880717  	 6.65881072 
1.01444444  	 6.94184361  	 6.94184717 
1.0149999975  	 7.1143039854  	 7.1143039860 
1.0150694422  	 7.1558132370  	 7.1558132374 
1.0150833311  	 7.1657185817  	 7.1657185817 
1.0151111090  	 7.1878971111  	 7.1878971112 
1.0151388868  	 7.2144258045  	 7.2144258046 
1.0151416646  	 7.2174004550  	 7.2174004550 
1.0151490720  	 7.2256903836  	 7.2256903837 
1.0151564795  	 7.2345674021  	 7.2345674022 
1.0151638869  	 7.2441355469  	 7.2441355469 
1.0151666647  	 7.2479284109  	 7.2479284109 
1.0151944426  	 7.2948837042  	 7.2948837043 
1.0152083315  	 7.3294073253  	 7.3294073256 
1.0152777762  	 7.4383923000  	 7.4418400500 
1.0161111125  	 7.4418400496  	 7.4418400500 
1.01666667  	 7.44184005  	 7.44184361 
