Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46298947  	 6.46299554 
1.01222222  	 6.63527747  	 6.63528103 
1.01444444  	 6.82953880  	 6.82954236 
1.01666674  	 7.13010060  	 7.13010416 
1.01688897  	 7.18089882  	 7.18090238 
1.01691119  	 7.18651304  	 7.18651660 
1.01701120  	 7.21332904  	 7.21333260 
1.01711120  	 7.24317437  	 7.24317793 
1.01712120  	 7.24635659  	 7.24636015 
1.01715120  	 7.25615926  	 7.25616281 
1.01718120  	 7.26636015  	 7.26636370 
1.01721120  	 7.27699837  	 7.27700193 
1.01721420  	 7.27808993  	 7.27809348 
1.01730000  	 7.31156904  	 7.31157260 
1.01731000  	 7.31580092  	 7.31580092 
1.01733000  	 7.32450037  	 7.32450038 
1.01735000  	 7.33354238  	 7.33354239 
1.01739000  	 7.35278704  	 7.35278704 
1.01740000  	 7.35786593  	 7.35786948 
