Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46400808  	 6.46401415 
1.01222222  	 6.62022852  	 6.62023208 
1.01444444  	 6.77121519  	 6.77121874 
1.01666667  	 6.92286675  	 6.92287030 
1.01888889  	 7.08043475  	 7.08043831 
1.02111111  	 7.24952275  	 7.24952631 
1.02133333  	 7.26729667  	 7.26729667 
1.02177778  	 7.30338406  	 7.30338407 
1.02222222  	 7.34022399  	 7.34022399 
1.02266666  	 7.37783906  	 7.37783906 
1.02311111  	 7.41623312  	 7.41623313 
1.02333333  	 7.43571297  	 7.43571653 
