Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.44711936  	 6.44712544 
1.01222222  	 6.59884946  	 6.59885443 
1.01444444  	 6.75068038  	 6.75068486 
1.01666667  	 6.91457512  	 6.91457912 
1.01888889  	 7.10996549  	 7.10996897 
1.01911111  	 7.13260896  	 7.13261504 
1.01936508  	 7.15949669  	 7.15949947 
1.01961905  	 7.18758699  	 7.18758968 
1.01987302  	 7.21704183  	 7.21704443 
1.02012698  	 7.24805950  	 7.24806201 
1.02038095  	 7.28088020  	 7.28088261 
1.02063492  	 7.31578685  	 7.31578915 
1.02088889  	 7.35312628  	 7.35312847 
1.02111111  	 7.38812335  	 7.38812620 
