f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -4.27312004 	 -4.27311972
-2.77142857 	 -4.32417982 	 -4.32417941
-2.84285714 	 -4.36951600 	 -4.36951562
-2.91428571 	 -4.40952782 	 -4.40952747
-2.98571429 	 -4.44465299 	 -4.44465267
-3.05714286 	 -4.47534283 	 -4.47534253
-3.12857143 	 -4.50204742 	 -4.50204716
-3.20000000 	 -4.52520090 	 -4.52520066
-3.27142857 	 -4.54521286 	 -4.54521243
-3.34285714 	 -4.56246265 	 -4.56246228
-3.41428571 	 -4.57729739 	 -4.57729706
-3.48571429 	 -4.59002926 	 -4.59002898
-3.55714286 	 -4.60093792 	 -4.60093761
-3.62857143 	 -4.61027082 	 -4.61027055
-3.70000000 	 -4.61824560 	 -4.61824536
-3.72051282 	 -4.62031230 	 -4.62031187
-3.74102564 	 -4.62228700 	 -4.62228659
-3.76153846 	 -4.62417344 	 -4.62417305
-3.78205128 	 -4.62597548 	 -4.62597510
-3.80256410 	 -4.62769683 	 -4.62769647
-3.82307692 	 -4.62934117 	 -4.62934082
-3.84358974 	 -4.63091184 	 -4.63091151
-3.86410256 	 -4.63241201 	 -4.63241170
-3.88461538 	 -4.63384445 	 -4.63384415
-3.90512821 	 -4.63521246 	 -4.63521221
-3.92564103 	 -4.63651883 	 -4.63651860
-3.94615385 	 -4.63776612 	 -4.63776590
-3.96666667 	 -4.63895748 	 -4.63895705
-3.98717949 	 -4.64009444 	 -4.64009403
-4.00769231 	 -4.64118025 	 -4.64117985
-4.02820513 	 -4.64221658 	 -4.64221620
-4.04871795 	 -4.64320628 	 -4.64320591
-4.06923077 	 -4.64415075 	 -4.64415040
-4.08974359 	 -4.64505253 	 -4.64505226
-4.11025641 	 -4.64591320 	 -4.64591294
-4.13076923 	 -4.64673480 	 -4.64673456
-4.15128205 	 -4.64751906 	 -4.64751883
-4.17179487 	 -4.64826753 	 -4.64826731
-4.19230769 	 -4.64898190 	 -4.64898147
-4.21282051 	 -4.64966385 	 -4.64966345
-4.23333333 	 -4.65031436 	 -4.65031397
-4.25384615 	 -4.65093539 	 -4.65093502
-4.27435897 	 -4.65152824 	 -4.65152796
-4.29487179 	 -4.65209373 	 -4.65209346
-4.31538462 	 -4.65263355 	 -4.65263329
-4.33589744 	 -4.60800958 	 -4.60800937
-4.35641026 	 -4.61018787 	 -4.61018745
-4.37692308 	 -4.61227167 	 -4.61227127
-4.39743590 	 -4.61426477 	 -4.61426438
-4.41794872 	 -4.61617095 	 -4.61617067
-4.43846154 	 -4.61799390 	 -4.61799362
-4.45897436 	 -4.61973696 	 -4.61973670
-4.47948718 	 -4.62140320 	 -4.62140295
-4.50000000 	 -4.62237529 	 -4.62237505
