Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46836896  	 6.46837504 
1.01333333  	 6.69104606  	 6.69105096 
1.01666667  	 6.89603871  	 6.89604290 
1.02000000  	 7.09059026  	 7.09059379 
1.02333333  	 7.27747759  	 7.27748050 
1.02366666  	 7.29574045  	 7.29574371 
1.02404762  	 7.31650144  	 7.31650604 
1.02442857  	 7.33714589  	 7.33715035 
1.02480952  	 7.35766461  	 7.35766894 
1.02519048  	 7.37804316  	 7.37804735 
1.02557143  	 7.39827884  	 7.39828290 
1.02595238  	 7.41835520  	 7.41835913 
1.02633334  	 7.43827072  	 7.43827452 
1.02666667  	 7.45554874  	 7.45555105 
1.03000000  	 7.61879700  	 7.61880571 
