f0           	 log10(rhophA) 	 log10(rhophB)
-2.70000000 	 -4.37048406 	 -4.37048371
-2.77142857 	 -4.42759046 	 -4.42759013
-2.84285714 	 -4.47861790 	 -4.47861758
-2.91428571 	 -4.52391106 	 -4.52391066
-2.98571429 	 -4.56387410 	 -4.56387372
-3.05714286 	 -4.59894860 	 -4.59894826
-3.12857143 	 -4.62958840 	 -4.62958808
-3.20000000 	 -4.65624478 	 -4.65624450
-3.27142857 	 -4.67935315 	 -4.67935289
-3.34285714 	 -4.69932380 	 -4.69932357
-3.41428571 	 -4.71653657 	 -4.71653618
-3.48571429 	 -4.73133789 	 -4.73133755
-3.55714286 	 -4.74404060 	 -4.74404029
-3.62857143 	 -4.75492326 	 -4.75492294
-3.70000000 	 -4.76423355 	 -4.76423326
-3.72051282 	 -4.76664783 	 -4.76664756
-3.74102564 	 -4.76895551 	 -4.76895525
-3.76153846 	 -4.77116051 	 -4.77116026
-3.78205128 	 -4.77326773 	 -4.77326749
-3.80256410 	 -4.77528107 	 -4.77528084
-3.82307692 	 -4.77720479 	 -4.77720437
-3.84358974 	 -4.77904230 	 -4.77904190
-3.86410256 	 -4.78079791 	 -4.78079752
-3.88461538 	 -4.78247483 	 -4.78247446
-3.90512821 	 -4.78407664 	 -4.78407629
-3.92564103 	 -4.78560618 	 -4.78560584
-3.94615385 	 -4.78706711 	 -4.78706678
-3.96666667 	 -4.78846255 	 -4.78846224
-3.98717949 	 -4.78979465 	 -4.78979436
-4.00769231 	 -4.79106691 	 -4.79106666
-4.02820513 	 -4.79228150 	 -4.79228127
-4.04871795 	 -4.79344154 	 -4.79344131
-4.06923077 	 -4.79454902 	 -4.79454860
-4.08974359 	 -4.79560620 	 -4.79560579
-4.11025641 	 -4.79661533 	 -4.79661494
-4.13076923 	 -4.79757882 	 -4.79757845
-4.15128205 	 -4.79849867 	 -4.79849831
-4.17179487 	 -4.79937631 	 -4.79937598
-4.19230769 	 -4.80021441 	 -4.80021415
-4.21282051 	 -4.80101430 	 -4.80101405
-4.23333333 	 -4.80177785 	 -4.80177761
-4.25384615 	 -4.80250656 	 -4.80250633
-4.27435897 	 -4.80320204 	 -4.80320182
-4.29487179 	 -4.80386581 	 -4.80386540
-4.31538462 	 -4.80449929 	 -4.80449889
-4.33589744 	 -4.80510376 	 -4.80510338
-4.35641026 	 -4.80568080 	 -4.80568043
-4.37692308 	 -4.80623129 	 -4.80623102
-4.39743590 	 -4.80675670 	 -4.80675644
-4.41794872 	 -4.80725826 	 -4.80725801
-4.43846154 	 -4.76717092 	 -4.76717070
-4.45897436 	 -4.76994029 	 -4.76993987
-4.47948718 	 -4.77259220 	 -4.77259180
-4.50000000 	 -4.77513056 	 -4.77513017
