Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.02120636  	 7.28900536  	 7.28900892 
1.02123810  	 7.29287380  	 7.29287736 
1.02126984  	 7.29676713  	 7.29677069 
1.02130158  	 7.30068535  	 7.30068891 
1.02130159  	 7.30068891  	 7.30069246 
1.02130794  	 7.30147469  	 7.30147824 
1.02131428  	 7.30226402  	 7.30226758 
1.02132063  	 7.30305335  	 7.30305691 
1.02133000  	 7.30421957  	 7.30422313 
1.02166500  	 7.34764357  	 7.34764713 
1.02169850  	 7.35217939  	 7.35217940 
1.02178783  	 7.36446133  	 7.36446133 
1.02187717  	 7.37702622  	 7.37702623 
1.02200000  	 7.39479024  	 7.39479379 
