Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.44711936  	 6.44712544 
1.01222222  	 6.59884946  	 6.59885443 
1.01444444  	 6.75068038  	 6.75068486 
1.01666667  	 6.91457512  	 6.91457912 
1.01888889  	 7.10996549  	 7.10996897 
1.01911111  	 7.13261365  	 7.13261692 
1.01936508  	 7.15949767  	 7.15950334 
1.01961905  	 7.18758486  	 7.18759035 
1.01987302  	 7.21704137  	 7.21704668 
1.02012698  	 7.24805804  	 7.24806315 
1.02038095  	 7.28088077  	 7.28088568 
1.02063492  	 7.31578359  	 7.31578828 
1.02088889  	 7.35312560  	 7.35313007 
1.02111111  	 7.38812335  	 7.38812620 
