Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47100160  	 6.47100768 
1.01222222  	 6.64829202  	 6.64829692 
1.01444444  	 6.86158938  	 6.86159371 
1.01466666  	 6.88801056  	 6.88801664 
1.01492063  	 6.92029562  	 6.92029917 
1.01517460  	 6.95536441  	 6.95536787 
1.01542857  	 6.99403766  	 6.99404100 
1.01568254  	 7.03756283  	 7.03756605 
1.01593651  	 7.08794834  	 7.08795142 
1.01619048  	 7.14881794  	 7.14882086 
1.01644445  	 7.22779947  	 7.22780219 
1.01646667  	 7.23606624  	 7.23607232 
1.01649207  	 7.24588126  	 7.24588371 
1.01651747  	 7.25612521  	 7.25612762 
1.01654286  	 7.26683463  	 7.26683701 
1.01656826  	 7.27807259  	 7.27807493 
1.01659365  	 7.28989371  	 7.28989602 
1.01661905  	 7.30237795  	 7.30238022 
1.01664445  	 7.31561379  	 7.31561603 
1.01666667  	 7.32789330  	 7.32789694 
