Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.46544448  	 6.46545056 
1.01222222  	 6.62184638  	 6.62185129 
1.01444444  	 6.77465164  	 6.77465605 
1.01666667  	 6.92997092  	 6.92997484 
1.01888889  	 7.09347136  	 7.09347479 
1.02111111  	 7.27137144  	 7.27137434 
1.02133333  	 7.29019648  	 7.29020256 
1.02158730  	 7.31197439  	 7.31197666 
1.02184127  	 7.33402864  	 7.33403084 
1.02209524  	 7.35636052  	 7.35636265 
1.02234920  	 7.37897338  	 7.37897544 
1.02260317  	 7.40185697  	 7.40186690 
1.02285714  	 7.42501706  	 7.42502663 
1.02311111  	 7.44843037  	 7.44843957 
1.02333333  	 7.46910608  	 7.46910841 
1.02555556  	 7.67934007  	 7.67934857 
