Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01251007  	 6.89203672  	 6.89204278 
1.01254124  	 6.92075139  	 6.92075494 
1.01257242  	 6.96819317  	 6.96819672 
1.01258022  	 6.98858635  	 6.98858936 
1.01258046  	 6.98936948  	 6.98937612 
1.01258053  	 6.98958895  	 6.98959394 
1.01258060  	 6.98981072  	 6.98981525 
1.01258067  	 6.99003397  	 6.99003803 
1.01258074  	 6.99025650  	 6.99026008 
1.01258075  	 6.99025650  	 6.99025887 
1.01258081  	 6.99048119  	 6.99048431 
1.01258088  	 6.99070624  	 6.99070888 
1.01258095  	 6.99093232  	 6.99093449 
1.01258119  	 6.99173880  	 6.99174462 
1.01258158  	 6.99304372  	 6.99304822 
1.01258197  	 6.99438287  	 6.99438682 
1.01258236  	 6.99575438  	 6.99575776 
1.01258275  	 6.99716167  	 6.99716448 
1.01258314  	 6.99860677  	 6.99860899 
1.01258411  	 7.00242565  	 7.00242818 
1.01258671  	 7.01422296  	 7.01422526 
1.01258931  	 7.02996896  	 7.02997106 
1.01259191  	 7.05595662  	 7.05596579 
1.01259580  	 7.13886220  	 7.13886487 
1.01260360  	 7.14717984  	 7.14718339 
