Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01274386  	 6.97245238  	 6.97245844 
1.01275165  	 6.98746394  	 6.98746749 
1.01275945  	 7.00704794  	 7.00705150 
1.01275994  	 7.00850847  	 7.00851102 
1.01276026  	 7.00949934  	 7.00950905 
1.01276034  	 7.00975138  	 7.00975352 
1.01276038  	 7.00984770  	 7.00985573 
1.01276041  	 7.00995289  	 7.00995990 
1.01276044  	 7.01005919  	 7.01006509 
1.01276047  	 7.01015971  	 7.01016449 
1.01276051  	 7.01026411  	 7.01026783 
1.01276059  	 7.01051391  	 7.01052154 
1.01276091  	 7.01154099  	 7.01154649 
1.01276140  	 7.01312281  	 7.01312531 
1.01276530  	 7.02766029  	 7.02767022 
1.01276725  	 7.03672261  	 7.03672616 
1.01277504  	 7.15985505  	 7.15985861 
