Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01224471  	 6.84279781  	 6.84280387 
1.01229020  	 6.87356759  	 6.87357114 
1.01233570  	 6.92534359  	 6.92534715 
1.01234707  	 6.94856723  	 6.94857045 
1.01234849  	 6.95223415  	 6.95224108 
1.01234906  	 6.95378046  	 6.95378585 
1.01234963  	 6.95536727  	 6.95537201 
1.01235020  	 6.95699879  	 6.95700286 
1.01235077  	 6.95868286  	 6.95868624 
1.01235134  	 6.96042271  	 6.96042539 
1.01235169  	 6.96153822  	 6.96154792 
1.01235180  	 6.96186904  	 6.96187640 
1.01235190  	 6.96218849  	 6.96219514 
1.01235200  	 6.96251754  	 6.96252352 
1.01235210  	 6.96284552  	 6.96285080 
1.01235220  	 6.96317668  	 6.96318128 
1.01235230  	 6.96351227  	 6.96351618 
1.01235240  	 6.96384782  	 6.96385102 
1.01235249  	 6.96384782  	 6.96385031 
1.01235267  	 6.96384782  	 6.96385031 
1.01235269  	 6.96384782  	 6.96385031 
1.01235271  	 6.96384782  	 6.96385031 
1.01235272  	 6.96389512  	 6.96389761 
1.01235274  	 6.96394530  	 6.96394769 
1.01235275  	 6.96400383  	 6.96400599 
1.01235276  	 6.96401247  	 6.96401463 
1.01235282  	 6.96421542  	 6.96422387 
1.01235284  	 6.96429758  	 6.96430390 
1.01235287  	 6.96437940  	 6.96438486 
1.01235289  	 6.96446209  	 6.96446668 
1.01235292  	 6.96454028  	 6.96454400 
1.01235294  	 6.96462149  	 6.96462439 
1.01235300  	 6.96481580  	 6.96482266 
1.01235316  	 6.96535398  	 6.96535916 
1.01235331  	 6.96589558  	 6.96589962 
1.01235347  	 6.96644688  	 6.96644979 
1.01235371  	 6.96727384  	 6.96728052 
1.01235560  	 6.97447940  	 6.97448471 
1.01235655  	 6.97988490  	 6.97988734 
1.01236034  	 7.00188919  	 7.00189138 
1.01236413  	 7.09590424  	 7.09591334 
1.01236982  	 7.10997600  	 7.10997883 
1.01238119  	 7.11643337  	 7.11643692 
