Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01282357  	 7.02056126  	 7.02056572 
1.0128241125  	 7.0223713961  	 7.0223713964 
1.0128243844  	 7.0232988081  	 7.0232988086 
1.01282452  	 7.02376801  	 7.02377246 
1.0128245203  	 7.0237680109  	 7.0237680111 
1.0128245293  	 7.0237992201  	 7.0237992201 
1.0128245314  	 7.0238065047  	 7.0238065047 
1.0128245355  	 7.0238207297  	 7.0238207297 
1.0128245396  	 7.0238349578  	 7.0238349579 
1.0128245438  	 7.0238495370  	 7.0238495371 
1.0128245479  	 7.0238637726  	 7.0238637726 
1.01282455  	 7.02388218  	 7.02388662 
1.0128245532  	 7.0238821797  	 7.0238821797 
1.0128245771  	 7.0239652599  	 7.0239652599 
1.01282461  	 7.02407650  	 7.02408005 
