Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01370000  	 7.01000758  	 7.01001263 
1.01375000  	 7.05683425  	 7.05683780 
1.01376250  	 7.07316504  	 7.07317383 
1.01376875  	 7.08260580  	 7.08260972 
1.01377292  	 7.08951454  	 7.08951766 
1.01377708  	 7.09704012  	 7.09704265 
1.01377750  	 7.09782458  	 7.09782807 
1.01377833  	 7.09943424  	 7.09943740 
1.01377917  	 7.10107497  	 7.10107745 
1.01378000  	 7.10274639  	 7.10275533 
1.01378083  	 7.10445347  	 7.10445889 
1.01378125  	 7.10532056  	 7.10533007 
1.01378750  	 7.11964476  	 7.11965219 
1.01380000  	 7.16132136  	 7.16132492 
1.01385000  	 7.32274358  	 7.32274714 
