Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01000000  	 6.47521188  	 6.47521544 
1.01300000  	 6.65805949  	 6.65806305 
1.01337500  	 6.67880383  	 6.67880739 
1.01375000  	 6.69912686  	 6.69913041 
1.01412500  	 6.71905154  	 6.71905510 
1.01444444  	 6.73571648  	 6.73572003 
1.01450000  	 6.73858509  	 6.73858865 
1.01888889  	 6.94196533  	 6.94196889 
1.02333333  	 7.11015578  	 7.11015934 
1.02377778  	 7.12529296  	 7.12529652 
1.02428571  	 7.14226681  	 7.14227037 
1.02479365  	 7.15889135  	 7.15889491 
1.02530159  	 7.17518361  	 7.17518717 
1.02535238  	 7.17679438  	 7.17679793 
1.02541043  	 7.17863287  	 7.17863642 
1.02546848  	 7.18046367  	 7.18046722 
1.02552653  	 7.18229359  	 7.18229714 
1.02558458  	 7.18411932  	 7.18412288 
1.02564263  	 7.18593732  	 7.18594087 
1.02570068  	 7.18775446  	 7.18775802 
1.02575873  	 7.18956768  	 7.18957124 
1.02580952  	 7.19114915  	 7.19115271 
1.02586031  	 7.19272434  	 7.19273093 
1.02596190  	 7.19587777  	 7.19588370 
1.02606349  	 7.19901480  	 7.19901940 
1.02616508  	 7.20213958  	 7.20214286 
1.02626667  	 7.20525125  	 7.20526106 
1.02631746  	 7.20680217  	 7.20680573 
1.02682540  	 7.22214706  	 7.22215062 
1.02733334  	 7.23719285  	 7.23719640 
1.02777778  	 7.25012266  	 7.25012622 
1.03222222  	 7.36826691  	 7.36827046 
1.03666667  	 7.46898046  	 7.46898402 
1.04111111  	 7.55545125  	 7.55545480 
1.04555556  	 7.63010653  	 7.63011008 
1.05000000  	 7.69487305  	 7.69487661 
