Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01310511  	 6.98426947  	 6.98427554 
1.01312229  	 7.00711036  	 7.00711391 
1.01313947  	 7.03973614  	 7.03973969 
1.01314054  	 7.04236821  	 7.04237293 
1.01314126  	 7.04418042  	 7.04418404 
1.01314197  	 7.04604133  	 7.04604418 
1.01314204  	 7.04622721  	 7.04623126 
1.01314219  	 7.04661042  	 7.04661407 
1.01314233  	 7.04699421  	 7.04699705 
1.01314247  	 7.04738084  	 7.04738288 
1.01314262  	 7.04777154  	 7.04777765 
1.01314269  	 7.04796079  	 7.04796286 
1.01314376  	 7.05095904  	 7.05096483 
1.0131442969  	 7.0515818412  	 7.0515818420 
1.0131446996  	 7.0527506011  	 7.0527506017 
1.0131455048  	 7.0551533100  	 7.0551533105 
1.0131459075  	 7.0563898152  	 7.0563898161 
1.0131502025  	 7.0713936722  	 7.0713936729 
1.01315235  	 7.08211841  	 7.08212325 
1.01315665  	 7.10843303  	 7.10843658 
1.01317382  	 7.22867836  	 7.22868192 
