Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01360000  	 7.04119242  	 7.04119747 
1.01361000  	 7.05417280  	 7.05418213 
1.01362500  	 7.07820996  	 7.07821819 
1.01362875  	 7.08551204  	 7.08551495 
1.01362900  	 7.08602209  	 7.08602431 
1.01362950  	 7.08705556  	 7.08705757 
1.01363000  	 7.08809809  	 7.08810593 
1.01363050  	 7.08915912  	 7.08916476 
1.01363100  	 7.09023669  	 7.09024010 
1.01363125  	 7.09077888  	 7.09078118 
1.01363375  	 7.09642858  	 7.09643786 
1.01363625  	 7.10255418  	 7.10256107 
1.01364000  	 7.11281179  	 7.11281800 
1.01365000  	 7.15192664  	 7.15193020 
