Edot/LEdd    	 log10(TsA)   	 log10(TsB)  
1.01348744  	 7.07972169  	 7.07972524 
1.01348757  	 7.08002874  	 7.08003318 
1.01348792  	 7.08086475  	 7.08086919 
1.01348795  	 7.08095276  	 7.08095276 
1.01348803  	 7.08112165  	 7.08112166 
1.01348810  	 7.08129094  	 7.08129095 
1.01348811  	 7.08132000  	 7.08132000 
1.01348812  	 7.08135392  	 7.08135392 
1.01348814  	 7.08138785  	 7.08138786 
1.01348815  	 7.08142180  	 7.08142181 
1.01348816  	 7.08145577  	 7.08145577 
1.01348817  	 7.08146062  	 7.08146062 
1.01348824  	 7.08163070  	 7.08163070 
1.01348827  	 7.08171515  	 7.08171959 
1.01348862  	 7.08257087  	 7.08257531 
1.01348875  	 7.08289374  	 7.08289730 
