r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.200046e+06 	1.357049e+09 	4.115562e+04 	1.604931e+22 	6.611900e-01 	4.263243e+08 	6.462928e+08 	4.267810e+38 	2.789217e+38 	4.686841e+09 	3.333333e-01 	
1.200069e+06 	1.353597e+09 	4.071406e+04 	1.586317e+22 	6.683320e-01 	4.257817e+08 	6.385590e+08 	4.267748e+38 	2.789205e+38 	4.643966e+09 	3.333333e-01 	
1.200092e+06 	1.350154e+09 	4.027723e+04 	1.567926e+22 	6.755513e-01 	4.252399e+08 	6.309180e+08 	4.267686e+38 	2.789192e+38 	4.601477e+09 	3.333333e-01 	
1.200115e+06 	1.346721e+09 	3.984509e+04 	1.549755e+22 	6.828485e-01 	4.246989e+08 	6.233688e+08 	4.267624e+38 	2.789180e+38 	4.559369e+09 	3.333333e-01 	
1.200138e+06 	1.343298e+09 	3.941759e+04 	1.531802e+22 	6.902247e-01 	4.241589e+08 	6.159103e+08 	4.267563e+38 	2.789168e+38 	4.517640e+09 	3.333333e-01 	
1.200161e+06 	1.339885e+09 	3.899467e+04 	1.514064e+22 	6.976805e-01 	4.236196e+08 	6.085412e+08 	4.267501e+38 	2.789155e+38 	4.476286e+09 	3.333333e-01 	
1.200183e+06 	1.336481e+09 	3.857629e+04 	1.496538e+22 	7.052169e-01 	4.230813e+08 	6.012607e+08 	4.267439e+38 	2.789143e+38 	4.435305e+09 	3.333333e-01 	
1.200206e+06 	1.333088e+09 	3.816241e+04 	1.479221e+22 	7.128348e-01 	4.225437e+08 	5.940675e+08 	4.267377e+38 	2.789131e+38 	4.394692e+09 	3.333333e-01 	
1.200229e+06 	1.329703e+09 	3.775296e+04 	1.462112e+22 	7.205350e-01 	4.220070e+08 	5.869607e+08 	4.267316e+38 	2.789118e+38 	4.354445e+09 	3.333333e-01 	
1.200251e+06 	1.326329e+09 	3.734790e+04 	1.445207e+22 	7.283184e-01 	4.214712e+08 	5.799391e+08 	4.267254e+38 	2.789106e+38 	4.314560e+09 	3.333333e-01 	
1.200274e+06 	1.322963e+09 	3.694719e+04 	1.428504e+22 	7.361859e-01 	4.209362e+08 	5.730019e+08 	4.267193e+38 	2.789093e+38 	4.275034e+09 	3.333333e-01 	
1.200297e+06 	1.319608e+09 	3.655078e+04 	1.412001e+22 	7.441385e-01 	4.204020e+08 	5.661479e+08 	4.267131e+38 	2.789081e+38 	4.235864e+09 	3.333333e-01 	
1.200319e+06 	1.316262e+09 	3.615862e+04 	1.395695e+22 	7.521770e-01 	4.198687e+08 	5.593762e+08 	4.267070e+38 	2.789069e+38 	4.197047e+09 	3.333333e-01 	
1.200342e+06 	1.312926e+09 	3.577067e+04 	1.379584e+22 	7.603023e-01 	4.193362e+08 	5.526858e+08 	4.267008e+38 	2.789056e+38 	4.158579e+09 	3.333333e-01 	
1.200364e+06 	1.309599e+09 	3.538688e+04 	1.363665e+22 	7.685155e-01 	4.188046e+08 	5.460757e+08 	4.266947e+38 	2.789044e+38 	4.120457e+09 	3.333333e-01 	
1.200387e+06 	1.306281e+09 	3.500721e+04 	1.347936e+22 	7.768174e-01 	4.182738e+08 	5.395449e+08 	4.266886e+38 	2.789032e+38 	4.082680e+09 	3.333333e-01 	
1.200409e+06 	1.302973e+09 	3.463162e+04 	1.332395e+22 	7.852091e-01 	4.177439e+08 	5.330924e+08 	4.266824e+38 	2.789019e+38 	4.045242e+09 	3.333333e-01 	
1.200432e+06 	1.299675e+09 	3.426005e+04 	1.317039e+22 	7.936915e-01 	4.172147e+08 	5.267174e+08 	4.266763e+38 	2.789007e+38 	4.008142e+09 	3.333333e-01 	
1.200454e+06 	1.296385e+09 	3.389247e+04 	1.301866e+22 	8.022655e-01 	4.166864e+08 	5.204189e+08 	4.266702e+38 	2.788994e+38 	3.971377e+09 	3.333333e-01 	
1.200476e+06 	1.293105e+09 	3.352884e+04 	1.286873e+22 	8.109322e-01 	4.161590e+08 	5.141959e+08 	4.266641e+38 	2.788982e+38 	3.934943e+09 	3.333333e-01 	
1.200499e+06 	1.289835e+09 	3.316910e+04 	1.272060e+22 	8.196926e-01 	4.156324e+08 	5.080476e+08 	4.266580e+38 	2.788970e+38 	3.898837e+09 	3.333333e-01 	
1.200521e+06 	1.286574e+09 	3.281323e+04 	1.257424e+22 	8.285476e-01 	4.151066e+08 	5.019731e+08 	4.266519e+38 	2.788957e+38 	3.863057e+09 	3.333333e-01 	
1.200543e+06 	1.283322e+09 	3.246117e+04 	1.242961e+22 	8.374983e-01 	4.145817e+08 	4.959715e+08 	4.266458e+38 	2.788945e+38 	3.827599e+09 	3.333333e-01 	
1.200566e+06 	1.280079e+09 	3.211289e+04 	1.228671e+22 	8.465458e-01 	4.140575e+08 	4.900419e+08 	4.266397e+38 	2.788932e+38 	3.792461e+09 	3.333333e-01 	
1.200588e+06 	1.276845e+09 	3.176835e+04 	1.214551e+22 	8.556911e-01 	4.135343e+08 	4.841834e+08 	4.266336e+38 	2.788920e+38 	3.757640e+09 	3.333333e-01 	
1.200610e+06 	1.273621e+09 	3.142750e+04 	1.200598e+22 	8.649351e-01 	4.130118e+08 	4.783952e+08 	4.266275e+38 	2.788908e+38 	3.723134e+09 	3.333333e-01 	
1.200632e+06 	1.270406e+09 	3.109031e+04 	1.186812e+22 	8.742791e-01 	4.124902e+08 	4.726764e+08 	4.266214e+38 	2.788895e+38 	3.688939e+09 	3.333333e-01 	
1.200655e+06 	1.267200e+09 	3.075674e+04 	1.173189e+22 	8.837241e-01 	4.119693e+08 	4.670262e+08 	4.266153e+38 	2.788883e+38 	3.655052e+09 	3.333333e-01 	
1.200677e+06 	1.264003e+09 	3.042675e+04 	1.159729e+22 	8.932712e-01 	4.114494e+08 	4.614437e+08 	4.266093e+38 	2.788870e+38 	3.621472e+09 	3.333333e-01 	
1.200699e+06 	1.260815e+09 	3.010029e+04 	1.146428e+22 	9.029214e-01 	4.109302e+08 	4.559283e+08 	4.266032e+38 	2.788858e+38 	3.588195e+09 	3.333333e-01 	
1.200721e+06 	1.257637e+09 	2.977735e+04 	1.133286e+22 	9.126760e-01 	4.104119e+08 	4.504789e+08 	4.265971e+38 	2.788845e+38 	3.555217e+09 	3.333333e-01 	
1.200743e+06 	1.254467e+09 	2.945786e+04 	1.120300e+22 	9.225360e-01 	4.098944e+08 	4.450950e+08 	4.265911e+38 	2.788833e+38 	3.522538e+09 	3.333333e-01 	
1.200765e+06 	1.251306e+09 	2.914180e+04 	1.107467e+22 	9.325025e-01 	4.093777e+08 	4.397756e+08 	4.265850e+38 	2.788820e+38 	3.490154e+09 	3.333333e-01 	
1.200787e+06 	1.248155e+09 	2.882914e+04 	1.094788e+22 	9.425767e-01 	4.088618e+08 	4.345200e+08 	4.265789e+38 	2.788808e+38 	3.458062e+09 	3.333333e-01 	
1.200809e+06 	1.245012e+09 	2.851983e+04 	1.082258e+22 	9.527599e-01 	4.083468e+08 	4.293274e+08 	4.265729e+38 	2.788796e+38 	3.426261e+09 	3.333333e-01 	
1.200831e+06 	1.241878e+09 	2.821383e+04 	1.069877e+22 	9.630531e-01 	4.078325e+08 	4.241971e+08 	4.265669e+38 	2.788783e+38 	3.394747e+09 	3.333333e-01 	
1.200853e+06 	1.238754e+09 	2.791112e+04 	1.057643e+22 	9.734575e-01 	4.073191e+08 	4.191283e+08 	4.265608e+38 	2.788771e+38 	3.363517e+09 	3.333333e-01 	
1.200875e+06 	1.235638e+09 	2.761166e+04 	1.045554e+22 	9.839744e-01 	4.068065e+08 	4.141203e+08 	4.265548e+38 	2.788758e+38 	3.332570e+09 	3.333333e-01 	
1.200897e+06 	1.232531e+09 	2.731541e+04 	1.033608e+22 	9.946049e-01 	4.062947e+08 	4.091723e+08 	4.265487e+38 	2.788746e+38 	3.301903e+09 	3.333333e-01 	
1.200919e+06 	1.229433e+09 	2.702234e+04 	1.021803e+22 	1.005350e+00 	4.057838e+08 	4.042837e+08 	4.265427e+38 	2.788733e+38 	3.271513e+09 	3.333333e-01 	
1.200941e+06 	1.226343e+09 	2.673242e+04 	1.010139e+22 	1.016212e+00 	4.052736e+08 	3.994537e+08 	4.265367e+38 	2.788721e+38 	3.241398e+09 	3.333333e-01 	
1.200963e+06 	1.223263e+09 	2.644560e+04 	9.986126e+21 	1.027191e+00 	4.047643e+08 	3.946815e+08 	4.265307e+38 	2.788708e+38 	3.211555e+09 	3.333333e-01 	
1.200985e+06 	1.220191e+09 	2.616187e+04 	9.872227e+21 	1.038289e+00 	4.042558e+08 	3.899666e+08 	4.265246e+38 	2.788696e+38 	3.181982e+09 	3.333333e-01 	
1.201006e+06 	1.217128e+09 	2.588117e+04 	9.759674e+21 	1.049506e+00 	4.037481e+08 	3.853082e+08 	4.265186e+38 	2.788683e+38 	3.152677e+09 	3.333333e-01 	
1.201028e+06 	1.214074e+09 	2.560349e+04 	9.648453e+21 	1.060845e+00 	4.032412e+08 	3.807057e+08 	4.265126e+38 	2.788671e+38 	3.123637e+09 	3.333333e-01 	
1.201050e+06 	1.211028e+09 	2.532879e+04 	9.538545e+21 	1.072306e+00 	4.027351e+08 	3.761583e+08 	4.265066e+38 	2.788658e+38 	3.094860e+09 	3.333333e-01 	
1.201072e+06 	1.207991e+09 	2.505703e+04 	9.429935e+21 	1.083892e+00 	4.022298e+08 	3.716654e+08 	4.265006e+38 	2.788645e+38 	3.066343e+09 	3.333333e-01 	
1.201093e+06 	1.204963e+09 	2.478819e+04 	9.322609e+21 	1.095602e+00 	4.017253e+08 	3.672263e+08 	4.264946e+38 	2.788633e+38 	3.038084e+09 	3.333333e-01 	
