r (cm)      	T (K)       	rho (g/cm3) 	P (dyne/cm2) 	u (cm/s)    	cs (cm/s)   	phi         	L (erg/s)   	L* (erg/s)  	taus        	lambda     
1.000001e+06 	1.567636e+09 	9.477998e+04 	2.444315e+22 	1.098441e+00 	3.117727e+08 	2.838089e+08 	9.788991e+38 	5.719132e+38 	4.829371e+09 	3.333333e-01 	
1.000009e+06 	1.564090e+09 	9.379930e+04 	2.418985e+22 	1.109904e+00 	3.114199e+08 	2.805601e+08 	9.788893e+38 	5.719109e+38 	4.786382e+09 	3.333333e-01 	
1.000017e+06 	1.560554e+09 	9.282876e+04 	2.393934e+22 	1.121486e+00 	3.110676e+08 	2.773486e+08 	9.788795e+38 	5.719086e+38 	4.743769e+09 	3.333333e-01 	
1.000026e+06 	1.557028e+09 	9.186826e+04 	2.369159e+22 	1.133189e+00 	3.107160e+08 	2.741741e+08 	9.788698e+38 	5.719063e+38 	4.701528e+09 	3.333333e-01 	
1.000034e+06 	1.553511e+09 	9.091770e+04 	2.344655e+22 	1.145014e+00 	3.103650e+08 	2.710361e+08 	9.788600e+38 	5.719040e+38 	4.659655e+09 	3.333333e-01 	
1.000043e+06 	1.550005e+09 	8.997698e+04 	2.320421e+22 	1.156962e+00 	3.100145e+08 	2.679341e+08 	9.788502e+38 	5.719017e+38 	4.618149e+09 	3.333333e-01 	
1.000051e+06 	1.546509e+09 	8.904599e+04 	2.296453e+22 	1.169035e+00 	3.096647e+08 	2.648678e+08 	9.788404e+38 	5.718994e+38 	4.577004e+09 	3.333333e-01 	
1.000059e+06 	1.543022e+09 	8.812463e+04 	2.272748e+22 	1.181235e+00 	3.093154e+08 	2.618368e+08 	9.788307e+38 	5.718971e+38 	4.536220e+09 	3.333333e-01 	
1.000068e+06 	1.539545e+09 	8.721281e+04 	2.249302e+22 	1.193561e+00 	3.089667e+08 	2.588406e+08 	9.788209e+38 	5.718948e+38 	4.495792e+09 	3.333333e-01 	
1.000076e+06 	1.536078e+09 	8.631042e+04 	2.226114e+22 	1.206016e+00 	3.086186e+08 	2.558789e+08 	9.788111e+38 	5.718924e+38 	4.455718e+09 	3.333333e-01 	
1.000084e+06 	1.532621e+09 	8.541737e+04 	2.203179e+22 	1.218601e+00 	3.082711e+08 	2.529512e+08 	9.788013e+38 	5.718901e+38 	4.415994e+09 	3.333333e-01 	
1.000093e+06 	1.529174e+09 	8.453356e+04 	2.180495e+22 	1.231318e+00 	3.079242e+08 	2.500572e+08 	9.787915e+38 	5.718878e+38 	4.376617e+09 	3.333333e-01 	
1.000101e+06 	1.525736e+09 	8.365889e+04 	2.158060e+22 	1.244167e+00 	3.075779e+08 	2.471964e+08 	9.787817e+38 	5.718855e+38 	4.337585e+09 	3.333333e-01 	
1.000109e+06 	1.522308e+09 	8.279328e+04 	2.135870e+22 	1.257150e+00 	3.072322e+08 	2.443685e+08 	9.787719e+38 	5.718831e+38 	4.298895e+09 	3.333333e-01 	
1.000118e+06 	1.518889e+09 	8.193662e+04 	2.113922e+22 	1.270269e+00 	3.068870e+08 	2.415731e+08 	9.787621e+38 	5.718808e+38 	4.260543e+09 	3.333333e-01 	
1.000126e+06 	1.515481e+09 	8.108882e+04 	2.092215e+22 	1.283525e+00 	3.065425e+08 	2.388099e+08 	9.787523e+38 	5.718785e+38 	4.222526e+09 	3.333333e-01 	
1.000134e+06 	1.512082e+09 	8.024980e+04 	2.070746e+22 	1.296919e+00 	3.061985e+08 	2.360784e+08 	9.787425e+38 	5.718761e+38 	4.184842e+09 	3.333333e-01 	
1.000143e+06 	1.508692e+09 	7.941945e+04 	2.049511e+22 	1.310453e+00 	3.058551e+08 	2.333783e+08 	9.787327e+38 	5.718738e+38 	4.147487e+09 	3.333333e-01 	
1.000151e+06 	1.505312e+09 	7.859770e+04 	2.028507e+22 	1.324128e+00 	3.055123e+08 	2.307093e+08 	9.787229e+38 	5.718714e+38 	4.110460e+09 	3.333333e-01 	
1.000159e+06 	1.501942e+09 	7.778445e+04 	2.007733e+22 	1.337945e+00 	3.051701e+08 	2.280709e+08 	9.787131e+38 	5.718691e+38 	4.073757e+09 	3.333333e-01 	
1.000168e+06 	1.498581e+09 	7.697962e+04 	1.987186e+22 	1.351907e+00 	3.048285e+08 	2.254628e+08 	9.787033e+38 	5.718667e+38 	4.037376e+09 	3.333333e-01 	
