f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -5.11185399 	 -5.11185376
-3.72051282 	 -5.11583913 	 -5.11583891
-3.74102564 	 -5.11965270 	 -5.11965228
-3.76153846 	 -5.12330138 	 -5.12330097
-3.78205128 	 -5.12679236 	 -5.12679197
-3.80256410 	 -5.13013141 	 -5.13013103
-3.82307692 	 -5.13332514 	 -5.13332478
-3.84358974 	 -5.13637919 	 -5.13637884
-3.86410256 	 -5.13929973 	 -5.13929940
-3.88461538 	 -5.14209187 	 -5.14209155
-3.90512821 	 -5.14476109 	 -5.14476078
-3.92564103 	 -5.14731291 	 -5.14731262
-3.94615385 	 -5.14975157 	 -5.14975129
-3.96666667 	 -5.15208245 	 -5.15208211
-3.98717949 	 -5.15431014 	 -5.15430982
-4.00769231 	 -5.15643851 	 -5.15643820
-4.02820513 	 -5.15847220 	 -5.15847190
-4.04871795 	 -5.16041546 	 -5.16041517
-4.06923077 	 -5.16227166 	 -5.16227139
-4.08974359 	 -5.16404489 	 -5.16404463
-4.11025641 	 -5.16573883 	 -5.16573858
-4.13076923 	 -5.16735669 	 -5.16735645
-4.15128205 	 -5.16890180 	 -5.16890158
-4.17179487 	 -5.17037778 	 -5.17037736
-4.19230769 	 -5.17178697 	 -5.17178657
-4.21282051 	 -5.17313265 	 -5.17313227
-4.23333333 	 -5.17441778 	 -5.17441742
-4.25384615 	 -5.17564456 	 -5.17564421
-4.27435897 	 -5.17681602 	 -5.17681569
-4.29487179 	 -5.17793464 	 -5.17793432
-4.31538462 	 -5.17900252 	 -5.17900221
-4.33589744 	 -5.18002179 	 -5.18002150
-4.35641026 	 -5.18099501 	 -5.18099478
-4.37692308 	 -5.18192419 	 -5.18192396
-4.39743590 	 -5.18281086 	 -5.18281064
-4.41794872 	 -5.18365755 	 -5.18365713
-4.43846154 	 -5.18446549 	 -5.18446509
-4.45897436 	 -5.18523649 	 -5.18523611
-4.47948718 	 -5.18597255 	 -5.18597219
-4.50000000 	 -5.18667497 	 -5.18667463
