f0           	 log10(rhophA) 	 log10(rhophB)
-3.70000000 	 -4.53919243 	 -4.53919221
-3.72051282 	 -4.54249012 	 -4.54248970
-3.74102564 	 -4.54564405 	 -4.54564365
-3.76153846 	 -4.54865977 	 -4.54865938
-3.78205128 	 -4.55154346 	 -4.55154309
-3.80256410 	 -4.55430026 	 -4.55429990
-3.82307692 	 -4.55693585 	 -4.55693550
-3.84358974 	 -4.55945511 	 -4.55945477
-3.86410256 	 -4.56186292 	 -4.56186260
-3.88461538 	 -4.56416393 	 -4.56416363
-3.90512821 	 -4.56636297 	 -4.56636268
-3.92564103 	 -4.56846414 	 -4.56846386
-3.94615385 	 -4.57047190 	 -4.57047157
-3.96666667 	 -4.57238967 	 -4.57238935
-3.98717949 	 -4.57422187 	 -4.57422156
-4.00769231 	 -4.57597214 	 -4.57597184
-4.02820513 	 -4.57764383 	 -4.57764355
-4.04871795 	 -4.57924066 	 -4.57924039
-4.06923077 	 -4.58076565 	 -4.58076540
-4.08974359 	 -4.58222212 	 -4.58222187
-4.11025641 	 -4.58361291 	 -4.58361268
-4.13076923 	 -4.58494103 	 -4.58494060
-4.15128205 	 -4.58620923 	 -4.58620882
-4.17179487 	 -4.58742023 	 -4.58741984
-4.19230769 	 -4.58857622 	 -4.58857585
-4.21282051 	 -4.58967977 	 -4.58967941
-4.23333333 	 -4.59073348 	 -4.59073314
-4.25384615 	 -4.59173971 	 -4.59173938
-4.27435897 	 -4.59269973 	 -4.59269942
-4.29487179 	 -4.59361649 	 -4.59361619
-4.31538462 	 -4.59449143 	 -4.59449119
-4.33589744 	 -4.59532674 	 -4.59532651
-4.35641026 	 -4.59612388 	 -4.59612365
-4.37692308 	 -4.59688493 	 -4.59688450
-4.39743590 	 -4.59761130 	 -4.59761089
-4.41794872 	 -4.59830450 	 -4.59830411
-4.43846154 	 -4.59896584 	 -4.59896546
-4.45897436 	 -4.59959706 	 -4.59959670
-4.47948718 	 -4.60019966 	 -4.60019931
-4.50000000 	 -4.60077460 	 -4.60077433
