f0           	 log10(rhophA) 	 log10(rhophB)
-0.60000000 	 -0.96592021 	 -0.96591984
-0.61025641 	 -0.97728544 	 -0.97728507
-0.62051282 	 -0.98863376 	 -0.98863339
-0.63076923 	 -0.99996541 	 -0.99996504
-0.64102564 	 -1.01128167 	 -1.01128130
-0.65128205 	 -1.02258378 	 -1.02258341
-0.66153846 	 -1.03387258 	 -1.03387221
-0.67179487 	 -1.04514962 	 -1.04514925
-0.68205128 	 -1.05641490 	 -1.05641453
-0.69230769 	 -1.06766990 	 -1.06766952
-0.70256410 	 -1.07891568 	 -1.07891531
-0.71282051 	 -1.09015293 	 -1.09015256
-0.72307692 	 -1.10138227 	 -1.10138190
-0.73333333 	 -1.11260507 	 -1.11260470
-0.74358974 	 -1.12382154 	 -1.12382117
-0.75384615 	 -1.13503301 	 -1.13503264
-0.76410256 	 -1.14623964 	 -1.14623927
-0.77435897 	 -1.15744272 	 -1.15744234
-0.78461538 	 -1.16864311 	 -1.16864274
-0.79487179 	 -1.17984095 	 -1.17984057
-0.80512821 	 -1.19103783 	 -1.19103746
-0.81538462 	 -1.20223345 	 -1.20223308
-0.82564103 	 -1.21342939 	 -1.21342902
-0.83589744 	 -1.22462608 	 -1.22462571
-0.84615385 	 -1.23582394 	 -1.23582357
-0.85641026 	 -1.24702375 	 -1.24702338
-0.86666667 	 -1.25822667 	 -1.25822629
-0.87692308 	 -1.26943306 	 -1.26943268
-0.88717949 	 -1.28064370 	 -1.28064332
-0.89743590 	 -1.29185895 	 -1.29185857
-0.90769231 	 -1.30307992 	 -1.30307953
-0.91794872 	 -1.31430734 	 -1.31430696
-0.92820513 	 -1.32554118 	 -1.32554080
-0.93846154 	 -1.33678291 	 -1.33678253
-0.94871795 	 -1.34803326 	 -1.34803288
-0.95897436 	 -1.35929217 	 -1.35929178
-0.96923077 	 -1.37056110 	 -1.37056072
-0.97948718 	 -1.38184038 	 -1.38183999
-0.98974359 	 -1.39313108 	 -1.39313070
-1.00000000 	 -1.40443353 	 -1.40443314
