f0           	 log10(rhophA) 	 log10(rhophB)
-1.00000000 	 -1.40498300 	 -1.40498262
-1.01000000 	 -1.41601439 	 -1.41601401
-1.02000000 	 -1.42705878 	 -1.42705840
-1.03000000 	 -1.43811685 	 -1.43811646
-1.04000000 	 -1.44918849 	 -1.44918810
-1.05000000 	 -1.46027516 	 -1.46027477
-1.06000000 	 -1.47137713 	 -1.47137674
-1.07000000 	 -1.48249547 	 -1.48249508
-1.08000000 	 -1.49363087 	 -1.49363048
-1.09000000 	 -1.50478440 	 -1.50478401
-1.10000000 	 -1.51595596 	 -1.51595556
-1.11000000 	 -1.52714702 	 -1.52714662
-1.12000000 	 -1.53835827 	 -1.53835788
-1.13000000 	 -1.54959043 	 -1.54959004
-1.14000000 	 -1.56084459 	 -1.56084420
-1.15000000 	 -1.57212107 	 -1.57212068
-1.16000000 	 -1.58342139 	 -1.58342099
-1.17000000 	 -1.59474627 	 -1.59474586
-1.18000000 	 -1.60609645 	 -1.60609604
-1.19000000 	 -1.61747308 	 -1.61747267
-1.20000000 	 -1.62887692 	 -1.62887652
