f0           	 log10(rhophA) 	 log10(rhophB)
-0.01000000 	 0.00179146  	 0.00179182 
-0.02000000 	 -0.08059758 	 -0.08059722
-0.02081633 	 -0.08555692 	 -0.08555656
-0.02163265 	 -0.09035245 	 -0.09035209
-0.02244898 	 -0.09499644 	 -0.09499608
-0.02326531 	 -0.09949967 	 -0.09949931
-0.02408163 	 -0.10387178 	 -0.10387142
-0.02489796 	 -0.10812163 	 -0.10812127
-0.02571429 	 -0.11225741 	 -0.11225705
-0.02653061 	 -0.11628587 	 -0.11628551
-0.02734694 	 -0.12021361 	 -0.12021325
-0.02816327 	 -0.12404649 	 -0.12404613
-0.02897959 	 -0.12779026 	 -0.12778990
-0.02979592 	 -0.13144960 	 -0.13144924
-0.03000000 	 -0.13235191 	 -0.13235155
-0.03061224 	 -0.13502935 	 -0.13502899
-0.03142857 	 -0.13853343 	 -0.13853307
-0.03224490 	 -0.14196604 	 -0.14196568
-0.03306122 	 -0.14533073 	 -0.14533037
-0.03387755 	 -0.14863017 	 -0.14862981
-0.03469388 	 -0.15186849 	 -0.15186813
-0.03551020 	 -0.15504780 	 -0.15504744
-0.03632653 	 -0.15817086 	 -0.15817050
-0.03714286 	 -0.16124083 	 -0.16124047
-0.03795918 	 -0.16425929 	 -0.16425893
-0.03877551 	 -0.16722850 	 -0.16722814
-0.03959184 	 -0.17015119 	 -0.17015083
-0.04000000 	 -0.17159536 	 -0.17159500
-0.04040816 	 -0.17302853 	 -0.17302816
-0.04122449 	 -0.17586238 	 -0.17586202
-0.04204082 	 -0.17865513 	 -0.17865477
-0.04285714 	 -0.18140763 	 -0.18140727
-0.04367347 	 -0.18412182 	 -0.18412146
-0.04448980 	 -0.18679872 	 -0.18679836
-0.04530612 	 -0.18944038 	 -0.18944002
-0.04612245 	 -0.19204741 	 -0.19204705
-0.04693878 	 -0.19462136 	 -0.19462100
-0.04775510 	 -0.19716332 	 -0.19716296
-0.04857143 	 -0.19967410 	 -0.19967374
-0.04938776 	 -0.20215505 	 -0.20215469
-0.05000000 	 -0.20399704 	 -0.20399668
-0.05020408 	 -0.20460750 	 -0.20460713
-0.05102041 	 -0.20703170 	 -0.20703134
-0.05183673 	 -0.20942849 	 -0.20942813
-0.05265306 	 -0.21179950 	 -0.21179914
-0.05346939 	 -0.21414479 	 -0.21414443
-0.05428571 	 -0.21646582 	 -0.21646546
-0.05510204 	 -0.21876267 	 -0.21876231
-0.05591837 	 -0.22103637 	 -0.22103601
-0.05673469 	 -0.22328756 	 -0.22328720
-0.05755102 	 -0.22551696 	 -0.22551660
-0.05836735 	 -0.22772478 	 -0.22772442
-0.05918367 	 -0.22991232 	 -0.22991196
-0.06000000 	 -0.23207947 	 -0.23207911
-0.07000000 	 -0.25718668 	 -0.25718632
-0.08000000 	 -0.28012015 	 -0.28011979
-0.09000000 	 -0.30139647 	 -0.30139611
-0.10000000 	 -0.32136852 	 -0.32136816
-0.11000000 	 -0.34028681 	 -0.34028645
-0.12000000 	 -0.35833726 	 -0.35833690
-0.13000000 	 -0.37566087 	 -0.37566051
-0.14000000 	 -0.39236626 	 -0.39236590
-0.15000000 	 -0.40854049 	 -0.40854013
-0.16000000 	 -0.42425350 	 -0.42425313
-0.17000000 	 -0.43956251 	 -0.43956215
-0.18000000 	 -0.45451390 	 -0.45451354
-0.19000000 	 -0.46914854 	 -0.46914817
-0.20000000 	 -0.48349904 	 -0.48349868
-0.21000000 	 -0.49759421 	 -0.49759385
-0.22000000 	 -0.51145852 	 -0.51145815
-0.23000000 	 -0.52511387 	 -0.52511350
-0.24000000 	 -0.53857801 	 -0.53857765
-0.25000000 	 -0.55186824 	 -0.55186788
-0.26000000 	 -0.56499812 	 -0.56499776
-0.27000000 	 -0.57798069 	 -0.57798032
-0.28000000 	 -0.59082721 	 -0.59082685
-0.29000000 	 -0.60354816 	 -0.60354779
-0.30000000 	 -0.61615257 	 -0.61615221
-0.31000000 	 -0.62864862 	 -0.62864826
-0.32000000 	 -0.64104406 	 -0.64104369
-0.33000000 	 -0.65334521 	 -0.65334485
-0.34000000 	 -0.66555891 	 -0.66555855
-0.35000000 	 -0.67769000 	 -0.67768963
-0.36000000 	 -0.68974464 	 -0.68974428
-0.37000000 	 -0.70172680 	 -0.70172644
-0.38000000 	 -0.71364113 	 -0.71364077
-0.39000000 	 -0.72549196 	 -0.72549159
-0.40000000 	 -0.73728257 	 -0.73728221
-0.41000000 	 -0.74901709 	 -0.74901672
-0.42000000 	 -0.76069792 	 -0.76069756
-0.43000000 	 -0.77232909 	 -0.77232872
-0.44000000 	 -0.78391256 	 -0.78391220
-0.45000000 	 -0.79545125 	 -0.79545089
-0.46000000 	 -0.80694788 	 -0.80694751
-0.47000000 	 -0.81840429 	 -0.81840392
-0.48000000 	 -0.82982329 	 -0.82982292
-0.49000000 	 -0.84120645 	 -0.84120609
-0.50000000 	 -0.85255597 	 -0.85255560
