f0           	 log10(rhophA) 	 log10(rhophB)
-0.00010000 	 -0.07871236 	 -0.07871211
-0.00010975 	 -0.06932911 	 -0.06932886
-0.00012045 	 -0.06012522 	 -0.06012498
-0.00013219 	 -0.05111167 	 -0.05111145
-0.00014508 	 -0.04229229 	 -0.04229186
-0.00015923 	 -0.03367988 	 -0.03367947
-0.00017475 	 -0.02529222 	 -0.02529182
-0.00019179 	 -0.01713196 	 -0.01713158
-0.00021049 	 -0.00921461 	 -0.00921424
-0.00023101 	 -0.00155315 	 -0.00155280
-0.00025354 	 0.00584408  	 0.00584442 
-0.00027826 	 0.01295912  	 0.01295945 
-0.00030539 	 0.01978081  	 0.01978112 
-0.00033516 	 0.02629461  	 0.02629501 
-0.00036784 	 0.03248892  	 0.03248930 
-0.00040370 	 0.03834802  	 0.03834839 
-0.00044306 	 0.04385874  	 0.04385910 
-0.00048626 	 0.04900723  	 0.04900758 
-0.00053367 	 0.05377905  	 0.05377938 
-0.00058570 	 0.05816042  	 0.05816074 
-0.00064281 	 0.06213883  	 0.06213914 
-0.00070548 	 0.06570053  	 0.06570083 
-0.00077426 	 0.06883383  	 0.06883412 
-0.00084975 	 0.07152737  	 0.07152765 
-0.00093260 	 0.07377098  	 0.07377126 
-0.00102353 	 0.07555496  	 0.07555523 
-0.00112332 	 0.07687165  	 0.07687191 
-0.00123285 	 0.07771438  	 0.07771464 
-0.00135305 	 0.07807798  	 0.07807823 
-0.00148497 	 0.07795912  	 0.07795936 
-0.00162975 	 0.07735639  	 0.07735663 
-0.00178865 	 0.07626989  	 0.07627013 
-0.00196304 	 0.07470156  	 0.07470180 
-0.00215443 	 0.07265533  	 0.07265555 
-0.00236449 	 0.07013659  	 0.07013682 
-0.00259502 	 0.06715304  	 0.06715326 
-0.00284804 	 0.06371275  	 0.06371318 
-0.00312572 	 0.05982692  	 0.05982735 
-0.00343047 	 0.05550679  	 0.05550721 
-0.00376494 	 0.05076476  	 0.05076517 
-0.00413201 	 0.04561402  	 0.04561443 
-0.00453488 	 0.04006910  	 0.04006951 
-0.00497702 	 0.03414432  	 0.03414472 
-0.00546228 	 0.02785339  	 0.02785379 
-0.00599484 	 0.02121141  	 0.02121180 
-0.00657933 	 0.01423228  	 0.01423268 
-0.00722081 	 0.00692964  	 0.00693003 
-0.00792483 	 -0.00068387 	 -0.00068348
-0.00869749 	 -0.00859631 	 -0.00859593
-0.00954548 	 -0.01679661 	 -0.01679623
-0.01047616 	 -0.02527516 	 -0.02527478
-0.01149757 	 -0.03402317 	 -0.03402279
-0.01261857 	 -0.04303460 	 -0.04303422
-0.01384886 	 -0.05230287 	 -0.05230250
-0.01519911 	 -0.06182511 	 -0.06182474
-0.01668101 	 -0.07159878 	 -0.07159841
-0.01830738 	 -0.08162407 	 -0.08162370
-0.02009233 	 -0.09190204 	 -0.09190167
-0.02205131 	 -0.10243644 	 -0.10243607
-0.02420128 	 -0.11323329 	 -0.11323292
-0.02656088 	 -0.12430036 	 -0.12430000
-0.02915053 	 -0.13564808 	 -0.13564772
-0.03199267 	 -0.14728890 	 -0.14728853
-0.03511192 	 -0.15923798 	 -0.15923761
-0.03853529 	 -0.17151340 	 -0.17151303
-0.04229243 	 -0.18413605 	 -0.18413569
-0.04641589 	 -0.19712948 	 -0.19712912
-0.05094138 	 -0.21052192 	 -0.21052156
-0.05590810 	 -0.22434332 	 -0.22434295
-0.06135907 	 -0.23862927 	 -0.23862891
-0.06734151 	 -0.25341848 	 -0.25341812
-0.07390722 	 -0.26875450 	 -0.26875414
-0.08111308 	 -0.28468556 	 -0.28468519
-0.08902151 	 -0.30126637 	 -0.30126600
-0.09770100 	 -0.31855645 	 -0.31855609
-0.10722672 	 -0.33662220 	 -0.33662184
-0.11768120 	 -0.35553753 	 -0.35553716
-0.12915497 	 -0.37538331 	 -0.37538294
-0.14174742 	 -0.39624977 	 -0.39624940
-0.15556761 	 -0.41823683 	 -0.41823647
-0.17073526 	 -0.44145443 	 -0.44145407
-0.18738174 	 -0.46602378 	 -0.46602341
-0.20565123 	 -0.49208002 	 -0.49207965
-0.22570197 	 -0.51977168 	 -0.51977131
-0.24770764 	 -0.54926352 	 -0.54926316
-0.27185882 	 -0.58073805 	 -0.58073768
-0.29836472 	 -0.61439806 	 -0.61439770
-0.32745492 	 -0.65046740 	 -0.65046704
-0.35938137 	 -0.68919640 	 -0.68919603
-0.39442061 	 -0.73086282 	 -0.73086245
-0.43287613 	 -0.77577748 	 -0.77577711
-0.47508102 	 -0.82428794 	 -0.82428758
-0.52140083 	 -0.87678596 	 -0.87678559
-0.57223677 	 -0.93371277 	 -0.93371240
-0.62802914 	 -0.99557195 	 -0.99557158
-0.68926121 	 -1.06294060 	 -1.06294023
-0.75646333 	 -1.13648853 	 -1.13648815
-0.83021757 	 -1.21700698 	 -1.21700661
-0.91116276 	 -1.30544942 	 -1.30544904
-1.00000000 	 -1.40299722 	 -1.40299683
